eventID,location,dateTime,teamID
1,Krasnoarmeysk,6/8/2025,5
2,Taoyuan,3/15/2025,1
3,Liangbing,7/9/2025,6
4,ChiryÅ«,10/30/2025,6
5,Campo Quijano,7/2/2025,2
6,Cariaco,9/18/2025,3
7,Hudong,12/18/2024,5
8,Krasnogorsk,12/29/2024,6
9,San Antonio,12/31/2024,4
10,Capas,7/6/2025,6
11,Tarimbang,7/15/2025,6
12,Lamam,3/24/2025,1
13,Tampa,6/15/2025,4
14,Kalipare,1/17/2025,1
15,Gondar,9/5/2025,3
16,Tangxia,9/25/2025,5
17,Candi Prambanan,5/14/2025,4
18,Bassar,3/13/2025,6
19,Pajaten,12/21/2024,4
20,Zhongba,7/13/2025,5
